lsoa,60plus_perc,females_perc,employment_score,crime_score,outdoor_environment_score,lvl_4plus_perc
E01000040,16.161616161616163,51.497769279796046,0.189,0.733,0.523,20.368818105616093
E01000041,13.76037959667853,51.36741973840666,0.152,0.987,0.5579999999999999,17.105263157894736
E01000042,10.514786418400876,51.78970917225951,0.234,0.531,0.5379999999999999,20.314960629921266
E01000043,17.362146050670642,49.92636229749632,0.153,1.016,0.88,19.184890656063626
E01000044,11.63556531284303,49.11012235817576,0.114,1.615,0.872,23.99103139013453
E01000045,12.733856366928187,51.39393939393939,0.154,1.372,1.435,21.859296482412056
E01000046,12.777777777777775,51.60202360876898,0.151,0.314,0.53,16.588419405320813
E01000048,5.533371363377068,50.64498037016265,0.245,0.299,0.755,19.486271036315323
E01000049,8.284339925173704,48.02197802197802,0.172,0.76,0.95,20.666097352690013
E01000050,13.91962725684333,47.92293798916315,0.14,1.21,0.995,26.337448559670786
E01000051,5.543595263724434,48.98806434872859,0.196,0.544,0.89,22.913385826771652
E01000052,12.781954887218044,50.844091360476654,0.133,0.8029999999999999,1.117,24.62987886944818
E01000053,16.3265306122449,53.670033670033675,0.177,1.374,0.716,20.64343163538874
E01000054,16.637478108581437,51.74621653084982,0.138,1.351,0.51,16.600790513833992
E01000055,14.160948222083595,51.19124275595621,0.155,1.15,0.718,18.43238587424634
E01000056,14.75,52.77777777777778,0.191,1.261,0.741,16.549295774647888
E01000057,14.729729729729732,53.34224598930482,0.188,1.486,0.882,21.246458923512744
E01000058,11.187335092348286,51.05462412114657,0.157,0.7090000000000001,0.383,21.43906020558003
E01000059,16.901408450704224,54.48798988621998,0.193,1.34,0.284,16.38225255972696
E01000060,15.904139433551194,53.1232725262576,0.187,1.539,0.8220000000000001,18.702290076335878
E01000061,5.3994490358126725,53.71621621621622,0.253,0.762,0.014,17.157275021026074
E01000062,17.858929464732363,53.63729508196722,0.134,1.183,0.303,19.26229508196721
E01000063,15.924344112263574,50.308641975308646,0.17,1.007,0.394,14.737718567860114
E01000064,18.00995024875622,53.935552033808754,0.16399999999999998,0.328,0.643,17.753120665742024
E01000065,20.035149384885766,53.052995391705075,0.195,0.7140000000000001,0.395,17.236255572065378
E01000066,14.256304683479154,52.0746887966805,0.125,0.38,0.215,22.01388888888889
E01000067,15.817825661116553,49.9746063991874,0.097,0.5770000000000001,0.6829999999999999,23.599208965062623
E01000068,14.267834793491865,48.49056603773585,0.101,1.192,0.525,26.470588235294123
E01000069,13.881019830028329,50.36868973340896,0.087,0.319,0.496,23.690036900369005
E01000070,18.695873662761077,53.82278481012658,0.103,0.897,0.917,25.738125802310662
E01000071,15.47008547008547,51.1318242343542,0.07400000000000001,0.183,0.466,28.23803967327888
E01000072,14.000972289742347,51.5318935208438,0.17600000000000002,1.547,1.095,16.30811936155448
E01000073,15.28198908429351,53.92217418159358,0.171,1.4369999999999998,0.461,17.089678510998308
E01000074,13.013265950726467,54.24377791959157,0.157,0.677,0.6,16.651904340124005
E01000075,17.046750285062718,50.40415704387991,0.155,1.666,0.868,15.384615384615385
E01000076,12.163509471585245,49.04426559356136,0.199,0.723,0.419,16.052060737527114
E01000077,13.298222514812375,52.45674740484429,0.182,0.732,0.713,15.579710144927535
E01000078,13.682941531042795,53.96158463385354,0.151,1.112,0.5579999999999999,15.561015561015562
E01000079,17.859404686510448,54.20439844760673,0.174,0.883,0.376,17.973568281938327
E01000080,14.564943253467845,53.72750642673522,0.185,0.645,0.484,15.789473684210524
E01000081,14.612676056338026,50.0,0.153,0.851,0.415,15.196850393700789
E01000082,12.931538911644235,52.52525252525253,0.166,0.652,0.589,15.190901705930138
E01000083,14.327315084449621,53.529411764705884,0.175,0.899,0.586,16.170555108608205
E01000084,14.596949891067537,53.210332103321036,0.175,1.526,0.823,17.373737373737377
E01000085,15.576143601621311,53.550640279394635,0.18,1.099,0.45,15.993537964458804
E01000086,14.605171208944794,51.99161425576519,0.17,1.243,0.502,18.916349809885933
